back_down,DVadv,set,intelligent,confident,id,c1,c2,c3,c4,i1,i2,i3,i4,i5,othercheck,passman,moderatorrolecheck,passcomp,male,age,filter_$
did_not_back_down,2,1,3.8,3,A1ING769NXJIHR,3,3,3,3,5,3,3,5,3,2,1,2,1,0,42,1
did_not_back_down,2,1,2.6,7,ADAGUJNWMEPT6,7,7,7,7,3,4,2,2,2,2,1,2,1,1,47,1
did_not_back_down,2,1,1,6,A2EED3HLTA96CP,6,6,6,6,1,1,1,1,1,2,1,2,1,0,42,1
did_not_back_down,2,1,2.8,6.5,A15HF9M3EGMCWL,7,7,6,6,4,2,3,4,1,2,1,2,1,1,38,1
did_not_back_down,2,1,1.6,7,A2Y8RCX78HEWAY,7,7,7,7,1,4,1,1,1,2,1,2,1,0,56,1
did_not_back_down,2,1,3,3,A2EH6GXGWWT5UD,3,3,3,3,4,4,2,3,2,2,1,2,1,0,29,1
did_not_back_down,2,1,3.4,4.75,A3CEGD9ITLFUUD,5,6,2,6,4,4,2,3,4,2,1,2,1,0,39,1
did_not_back_down,2,1,3.8,5.25,A1N0D7925N0060,6,6,6,3,5,4,3,4,3,2,1,2,1,1,54,1
did_not_back_down,2,1,3,5.5,A23I6D4NN53KFE,6,6,5,5,3,4,3,3,2,2,1,2,1,0,27,1
did_not_back_down,2,1,2.6,6.5,A3EJ44J2ZNRMDA,7,7,6,6,4,3,1,3,2,2,1,2,1,1,48,1
did_not_back_down,2,1,3.8,6,AF5OX8V2MJZCY,6,6,6,6,3,5,3,3,5,2,1,2,1,0,51,1
did_not_back_down,2,1,4,6,A3AY0315YWWNXY,6,6,6,6,4,4,4,4,4,2,1,2,1,1,27,1
did_not_back_down,2,1,1,5.75,A1FSPD1LIOXCN1,6,6,6,5,1,1,1,1,1,2,1,2,1,0,33,1
did_not_back_down,2,1,3,6.5,A1U7O93JY3WFMU,7,7,5,7,4,3,2,4,2,2,1,2,1,0,45,1
did_not_back_down,2,1,3.4,6,A276TOSEU7TQ8Y,6,6,6,6,3,4,3,4,3,2,1,2,1,1,35,1
did_not_back_down,2,1,3.6,5,A2J91VTQ80G317,5,5,5,5,3,4,4,4,3,2,1,2,1,0,49,1
did_not_back_down,2,1,5,6.5,A2DFXQ3QVQ9ELH,7,7,6,6,5,5,5,5,5,2,1,2,1,1,35,1
did_not_back_down,2,1,2.2,4,A3RDH0U2H6JCBC,5,5,3,3,2,2,2,2,3,2,1,2,1,0,30,1
did_not_back_down,2,1,4,5.5,A3MZ9RQJX9T656,6,6,6,4,4,4,4,4,4,2,1,2,1,0,40,1
did_not_back_down,2,1,3.2,2.75,A1N3J21E6L4VVO,3,3,2,3,3,4,3,3,3,2,1,2,1,1,55,1
did_not_back_down,2,1,2.8,4.25,AHXO376ALG8WN,6,5,3,3,4,3,2,3,2,2,1,2,1,0,25,1
did_not_back_down,2,1,3.6,6,A15K979G6R0ZH6,6,6,6,6,3,3,4,4,4,2,1,2,1,0,60,1
did_not_back_down,2,1,3.4,4,A1XSQ7O7YLOE8N,5,5,3,3,4,3,3,4,3,2,1,2,1,0,48,1
did_not_back_down,2,1,2.8,4.75,AL51KTD0WITH9,6,6,5,2,4,2,2,3,3,2,1,2,1,1,48,1
did_not_back_down,2,1,2.4,6.25,A9TLMMERXKQCJ,7,7,7,4,3,3,1,3,2,2,1,2,1,0,20,1
did_not_back_down,2,1,5,5.25,A60GN683BWXWC,5,6,5,5,5,5,5,5,5,2,1,2,1,0,47,1
did_not_back_down,2,1,1.8,5.5,A1BIN5R8FF4FQR,7,7,4,4,2,2,1,2,2,2,1,2,1,0,43,1
did_not_back_down,2,1,1.2,6,ANVAFB99K5RKP,7,7,5,5,1,1,1,1,2,2,1,2,1,0,31,1
did_not_back_down,2,1,3.8,7,A3FHIX6HE7YINC,7,7,7,7,4,4,3,4,4,2,1,2,1,1,54,1
did_not_back_down,2,1,3.4,4.5,A3QH4NEUUO81CX,5,5,5,3,3,3,3,4,4,2,1,2,1,1,35,1
did_not_back_down,2,1,1.6,7,A3M9W3AHFXAZZ,7,7,7,7,3,1,1,2,1,2,1,2,1,0,47,1
did_not_back_down,3,1,3.2,4.75,A3DMXVOHQXFV60,6,6,3,4,4,4,2,4,2,2,1,2,1,0,44,1
did_not_back_down,3,1,3.2,5,AZOK0NYBJ9ZCS,5,5,5,5,3,4,3,3,3,2,1,2,1,1,22,1
did_not_back_down,3,1,3.4,3.75,A35NZAXRVLAC0G,4,5,3,3,4,3,3,4,3,2,1,2,1,1,29,1
did_not_back_down,3,1,1.2,6,A11QPQ8294VPOF,6,6,6,6,1,2,1,1,1,2,1,2,1,0,35,1
did_not_back_down,3,1,3.2,6,AVZOC3OGBQRX2,6,6,6,6,4,3,3,4,2,2,1,2,1,0,38,1
did_not_back_down,3,1,2.6,7,A24CUEJH6KROK2,7,7,7,7,3,4,2,2,2,2,1,2,1,0,46,1
did_not_back_down,3,1,3,6.75,A2ZDXFFGSPHGBE,7,7,7,6,5,2,1,5,2,2,1,2,1,1,29,1
did_not_back_down,3,1,3.8,6.5,AXWJ324RX7D14,7,6,6,7,5,3,3,4,4,2,1,2,1,0,26,1
did_not_back_down,3,1,4.4,5.5,A192EJRA8LJYMV,6,5,6,5,5,4,4,5,4,2,1,2,1,0,27,1
did_not_back_down,3,1,3.6,5.25,A2JTLY1K6E2YAG,6,5,5,5,3,3,4,5,3,2,1,2,1,1,24,1
did_not_back_down,3,1,3.8,6,AP9WIQ4P78XLH,6,6,6,6,4,4,3,4,4,2,1,2,1,1,47,1
did_not_back_down,3,1,4,5.5,A245CPNDUDHUYX,7,7,4,4,4,4,4,4,4,2,1,2,1,1,30,1
did_not_back_down,3,1,3.4,5.75,A2GPPUNLCCQX83,6,6,5,6,3,4,3,4,3,2,1,2,1,0,35,1
did_not_back_down,3,1,2.4,5,A1LB9JOMFQ1UMG,6,5,5,4,3,2,2,3,2,2,1,2,1,0,27,1
did_not_back_down,3,1,3.4,5,A1UA3NAIZI4G32,5,5,5,5,4,3,3,4,3,2,1,2,1,0,75,1
did_not_back_down,3,1,4.6,6,A15NT1E8X5MFYP,6,6,6,6,5,6,3,5,4,2,1,2,1,0,28,1
did_not_back_down,3,1,3.8,5.5,A1CLS2KOA3TFYT,7,7,3,5,4,4,3,5,3,2,1,2,1,0,29,1
did_not_back_down,3,1,5.6,6.5,A1AF25FCVKC87X,7,7,6,6,6,6,5,6,5,2,1,2,1,1,33,1
did_not_back_down,3,1,3.8,5.5,A1VFRCYMWGWWCZ,6,7,4,5,6,3,2,5,3,2,1,2,1,0,34,1
did_not_back_down,3,1,3.6,7,A4UIXESOEZI05,7,7,7,7,5,4,2,4,3,2,1,2,1,0,27,1
did_not_back_down,3,1,3,3,A1ZLY60CGN617T,3,3,3,3,3,2,4,4,2,2,1,2,1,1,33,1
did_not_back_down,3,1,5,6.25,A2WC2NO555XU3J,7,7,6,5,5,5,5,5,5,2,1,2,1,0,25,1
did_not_back_down,3,1,6.8,7,A3N00GAY66XDSJ,7,7,7,7,7,7,7,7,6,2,1,2,1,1,68,1
did_not_back_down,3,1,4.2,5.75,AL7UTA8J27TFK,6,6,5,6,5,4,4,4,4,2,1,2,1,1,63,1
did_not_back_down,3,1,2.4,7,A1OVN32XH1791K,7,7,7,7,2,4,2,2,2,2,1,2,1,1,38,1
did_not_back_down,3,1,2.4,6,AZV195E9JW7ZH,7,5,6,6,3,2,3,2,2,2,1,2,1,1,32,1
did_not_back_down,3,1,3.2,5.75,A1BNGJBEWJS8WE,6,6,6,5,4,2,4,3,3,2,1,2,1,0,69,1
did_not_back_down,3,1,4,6.25,A3S8TUZ94SKSDC,6,6,7,6,5,4,3,4,4,2,1,2,1,1,29,1
did_not_back_down,3,1,3,6.5,A3LIOY7C4ZDQ50,6,6,7,7,3,2,3,3,4,2,1,2,1,1,23,1
did_not_back_down,3,1,2.2,4.5,A1601UNFFAAQOI,6,6,3,3,3,3,2,1,2,2,1,2,1,0,33,1
did_not_back_down,3,1,4.4,5.75,A2B2HQHFBYLTXU,6,7,5,5,6,4,4,5,3,2,1,2,1,1,35,1
did_not_back_down,3,1,4.4,5.25,AOXRO186OJMVJ,6,6,5,4,5,4,4,5,4,2,1,2,1,0,37,1
did_not_back_down,4,NA,3.6,5.5,A3GK90X2QOFR53,6,5,5,6,4,4,3,4,3,2,1,2,1,1,31,NA
did_not_back_down,4,NA,4.8,6,A1TO8F0HIM1OBQ,6,6,6,6,5,5,4,5,5,2,1,2,1,1,28,NA
did_not_back_down,4,NA,3.2,5.25,A26BTBZTW70SD5,6,6,6,3,3,4,3,3,3,2,1,2,1,1,31,NA
did_not_back_down,4,NA,3.6,6.5,AS7ZK30LXDC46,7,7,7,5,4,3,3,4,4,2,1,2,1,1,35,NA
did_not_back_down,4,NA,7,7,A200H4TX468LE,7,7,7,7,7,7,7,7,7,2,1,2,1,0,42,NA
did_not_back_down,4,NA,4.4,6,A24RGLS3BRZ60J,6,6,6,6,5,4,3,5,5,2,1,2,1,0,33,NA
did_not_back_down,4,NA,5.6,7,A25N0K40JAZTN1,7,7,7,7,6,6,5,5,6,2,1,2,1,1,47,NA
did_not_back_down,4,NA,5.8,6.5,A3TZNS3TG01U9B,7,6,6,7,6,6,6,5,6,2,1,2,1,1,30,NA
did_not_back_down,4,NA,4,6,AMWEGHUYIFH95,6,6,6,6,4,4,4,4,4,2,1,2,1,1,46,NA
did_not_back_down,4,NA,4,6,A1KXYURHCYHKOL,6,6,6,6,5,5,3,4,3,2,1,2,1,1,72,NA
did_not_back_down,4,NA,4,7,A19P7S5OYZS61Z,7,7,7,7,4,4,4,4,4,2,1,2,1,1,28,NA
did_not_back_down,5,2,4.2,4.5,A2D3NMQ8F17HHM,5,5,5,3,5,2,5,5,4,2,1,2,1,1,30,0
did_not_back_down,5,2,5.8,6.5,A2B01MEFSL5R97,7,7,6,6,6,6,6,5,6,2,1,2,1,1,34,0
did_not_back_down,5,2,4.4,4.75,A1FTIGX35ZK6PD,4,5,5,5,4,4,5,4,5,2,1,2,1,1,28,0
did_not_back_down,5,2,5,5.5,ASNMT3I94HZ44,6,6,5,5,6,5,5,5,4,2,1,2,1,1,27,0
did_not_back_down,5,2,4.8,6,A31QYF2ZCS1GOJ,6,6,6,6,5,4,5,5,5,2,1,2,1,0,24,0
did_not_back_down,5,2,6.8,6.25,A23YQ8J1DNM084,7,7,5,6,7,7,6,7,7,2,1,2,1,0,40,0
did_not_back_down,5,2,4.8,7,AXEXQBM7B2QT9,7,7,7,7,5,4,5,5,5,2,1,2,1,0,53,0
did_not_back_down,6,2,6.6,6.25,A2V3047SS2IVF,7,6,6,6,7,5,7,7,7,2,1,2,1,1,23,0
did_not_back_down,6,2,7,7,ACCTTGMQQ8K0M,7,7,7,7,7,7,7,7,7,2,1,2,1,1,24,0
did_not_back_down,6,2,5.6,5.75,AVUCJU0PCJ7X3,5,6,6,6,6,5,6,5,6,2,1,2,1,1,38,0
did_not_back_down,6,2,6.2,6,A1ROKI5TP0V6OW,6,6,6,6,6,7,6,6,6,2,1,2,1,1,36,0
did_not_back_down,6,2,5.6,6.5,AVUCJU0PCJ7X3,7,6,7,6,5,5,6,6,6,2,1,2,1,1,38,0
did_not_back_down,6,2,6.2,7,AYSG3J2U3UF1Y,7,7,7,7,7,7,6,6,5,2,1,2,1,1,58,0
did_not_back_down,6,2,4.4,4.5,A3UC9N3EEE6733,4,5,5,4,5,4,4,4,5,2,1,2,1,1,24,0
did_not_back_down,6,2,5,5,AF1FSG4HM13IQ,5,5,5,5,5,5,5,5,5,2,1,2,1,1,42,0
did_not_back_down,6,2,6.2,6.5,A2DJ95HY0IJ82H,6,7,6,7,6,6,7,6,6,2,1,2,1,0,66,0
did_not_back_down,6,2,6,7,A3NZ9C8PJRH6HJ,7,7,7,7,6,6,5,6,7,2,1,2,1,0,29,0
did_not_back_down,7,2,7,6,A35GEH7589M8079,6,6,6,6,7,7,7,7,7,2,1,2,1,0,80,0
did_not_back_down,7,2,7,7,A7NUU48OF3D59,7,7,7,7,7,7,7,7,7,2,1,2,1,1,23,0
did_not_back_down,7,2,7,7,A20NDRGSZZRQF,7,7,7,7,7,7,7,7,7,2,1,2,1,0,45,0
backed_down,4,NA,4.2,5,A3A6A30JN4KOTG,5,5,5,5,4,5,4,4,4,3,0,2,1,1,31,NA
did_not_back_down,5,2,5.8,6.25,A1EIVUU0RIGPFT,6,7,6,6,6,6,5,6,6,3,0,2,1,0,27,0
did_not_back_down,5,2,6,6.5,A340UGIDGIF4W6,7,7,6,6,7,6,6,5,6,3,0,2,1,0,43,0
did_not_back_down,5,2,3.8,3.75,A2XFO0X6RCS98M,3,3,5,4,4,4,4,4,3,3,0,2,1,1,28,0
did_not_back_down,7,2,6,7,AK1Y09TWU3IQ6,7,7,7,7,6,6,6,6,6,2,1,3,0,0,42,0
backed_down,2,2,3.2,2.25,A2M6TJIR21BN2W,3,3,2,1,4,2,5,2,3,1,1,4,0,1,31,0
backed_down,5,1,5.2,5,A36W1S4Z2LSNTC,5,5,5,5,6,5,5,5,5,1,1,4,0,0,32,1
backed_down,6,1,5.8,6,A38HV76MWKK0EY,6,6,6,6,6,6,5,6,6,1,1,4,0,0,37,1
backed_down,6,1,5.6,5,AMK9LJTZOOWC5,5,5,5,5,6,6,5,6,5,1,1,4,0,0,33,1
backed_down,6,1,4.4,5,A03172343NB8PHOPICC1,5,5,5,5,4,4,5,5,4,1,1,4,0,1,22,1
backed_down,6,1,6,3,A1NOHVLPYWB0TP,3,3,3,3,6,6,6,6,6,1,1,4,0,0,33,1
backed_down,7,1,6.6,6.5,A2YJOHV4L8M85P,6,7,7,6,7,7,6,6,7,1,1,4,0,1,33,1
backed_down,7,1,7,7,A1DIW2K1J89CMO,7,7,7,7,7,7,7,7,7,1,1,4,0,0,22,1
backed_down,6,1,6.4,6.25,A3I5M3F1SH0G8N,5,7,6,7,6,7,6,6,7,2,0,4,0,0,41,1
did_not_back_down,5,2,6,6.5,AUK4KGOJP9F0H,6,6,7,7,6,5,6,6,7,2,1,4,0,0,28,0
backed_down,6,1,5.6,5.25,A1710X6OIQP62Q,5,5,5,6,5,4,6,6,7,1,1,5,0,0,34,1
backed_down,6,1,7,5,AKZD89B2WLSX7,5,5,5,5,7,7,7,7,7,1,1,5,0,0,49,1
backed_down,7,1,7,5,A39VDI1CVOMMIN,5,5,5,5,7,7,7,7,7,1,1,5,0,1,21,1
did_not_back_down,6,2,6.8,7,A2E6YPCJHJOLRD,7,7,7,7,7,6,7,7,7,1,0,5,0,1,31,0
backed_down,5,1,5.4,5.5,AMY9FF4EMW50O,5,6,6,5,5,5,6,6,5,2,0,5,0,1,30,1
backed_down,6,1,4.8,5.5,A3M9AFBWBR86G6,6,5,5,6,5,4,5,6,4,2,0,5,0,1,29,1
did_not_back_down,5,2,4.6,4.5,A3BOY7SUI425MK,4,4,5,5,4,5,4,5,5,2,1,5,0,0,22,0
did_not_back_down,5,2,5.8,7,A370SFHTRCD230,7,7,7,7,7,6,5,7,4,2,1,5,0,NA,NA,0
did_not_back_down,6,2,6,6,A3RUUCI6HGJKNW,6,6,6,6,6,6,6,6,6,2,1,5,0,0,42,0
did_not_back_down,4,NA,4.2,6,A2X2OS8NNDMJY0,7,6,6,5,3,5,5,4,4,3,0,5,0,1,34,NA
did_not_back_down,6,2,4.8,5.25,A2FKNAUKK60EWJ,6,5,5,5,4,6,4,5,5,3,0,5,0,1,47,0
backed_down,2,2,4,4,A1CTOT46Y4W11J,4,4,4,4,4,4,4,4,4,1,1,6,0,1,25,0
backed_down,2,2,2,3.75,A1OXBE8DAVM57P,4,4,4,3,2,2,2,2,2,1,1,6,0,1,25,0
backed_down,4,NA,5.4,4.5,ARJXQ2HPZKBHP,5,5,4,4,5,5,5,6,6,1,1,6,0,0,41,NA
backed_down,5,1,5.4,6.25,A1ZMXTHA231F8P,7,6,6,6,6,4,6,6,5,1,1,6,0,0,27,1
backed_down,6,1,5.4,3,A2WC8C5H4HJJMC,3,4,3,2,5,5,6,5,6,1,1,6,0,1,29,1
backed_down,6,1,4.4,5.25,A24ZKEJTS1O4IW,5,4,6,6,4,5,4,4,5,1,1,6,0,1,30,1
backed_down,6,1,6,6,A1BUBB41AO8TZ9,6,6,6,6,6,6,6,6,6,1,1,6,0,0,27,1
backed_down,6,1,5,5,A30CKD84V82EH2,5,5,5,5,5,5,5,5,5,1,1,6,0,0,46,1
backed_down,6,1,6,6,AQTJFPB37TML0,6,6,6,6,6,6,6,6,6,1,1,6,0,1,24,1
did_not_back_down,4,NA,4,6,A1YI1H05AQ3ING,6,6,6,6,4,4,4,4,4,1,0,6,0,1,30,NA
did_not_back_down,4,NA,4,4,A119S66722ZWOW,4,4,4,4,4,4,4,4,4,1,0,6,0,0,30,NA
backed_down,4,NA,4,3.25,A3NQ988D43B0JW,2,3,4,4,4,4,4,5,3,2,0,6,0,1,25,NA
did_not_back_down,1,1,3.2,6.5,A13QLFAG3OGRT8,6,7,6,7,5,2,4,3,2,2,1,6,0,1,44,1
did_not_back_down,2,1,2,5,A1C7XI68SED8JE,5,5,5,5,2,2,2,2,2,2,1,6,0,0,36,1
did_not_back_down,3,1,3.6,5,A1DWMYWNC3QCFM,5,5,5,5,4,4,2,4,4,2,1,6,0,1,32,1
did_not_back_down,4,NA,3.6,7,A3I9743KVD971V,7,7,7,7,5,2,3,5,3,2,1,6,0,1,23,NA
did_not_back_down,5,2,4.6,5,A3OZ5DRX0ARFM4,5,4,5,6,5,5,4,3,6,2,1,6,0,1,29,0
did_not_back_down,5,2,4.6,3.5,A1TOHQNC01HNO8,4,3,4,3,4,4,5,5,5,2,1,6,0,0,30,0
did_not_back_down,5,2,5,7,A1X1OL9L162X8Q,7,7,7,7,5,5,5,5,5,2,1,6,0,0,32,0
did_not_back_down,5,2,6,6,A2OVX9UW5WANQE,6,6,6,6,6,6,6,6,6,2,1,6,0,0,45,0
did_not_back_down,5,2,4.2,5,A22UMPYYQBXT0F,5,5,5,5,5,4,3,4,5,2,1,6,0,1,26,0
did_not_back_down,6,2,5.8,5.5,A2XJKUAF3WMT8W,5,6,5,6,6,5,6,6,6,2,1,6,0,NA,NA,0
did_not_back_down,6,2,7,6,A3Q9UIPBY9QWLA,6,6,6,6,7,7,7,7,7,2,1,6,0,1,32,0
did_not_back_down,6,2,5.6,5.5,AHOAVGSI4TG30,6,5,6,5,6,6,6,5,5,2,1,6,0,0,39,0
did_not_back_down,6,2,5.8,5.75,A1U77XDX5VK70V,6,6,5,6,5,6,6,6,6,2,1,6,0,0,31,0
did_not_back_down,6,2,6,6.75,A3FY6THWKRYN9M,7,7,7,6,6,6,6,6,6,2,1,6,0,0,37,0
backed_down,7,1,7,7,A33QL701J8JMN1,7,7,7,7,7,7,7,7,7,3,0,6,0,0,27,1
did_not_back_down,4,NA,4,4,A35H05ZTUL743M,4,4,4,4,4,4,4,4,4,3,0,6,0,1,21,NA
did_not_back_down,5,2,3,3,A1PLYU7HZ97RF0,3,2,4,3,2,4,4,2,3,3,0,6,0,0,53,0
did_not_back_down,5,2,2.8,3,A1PLYU7HZ97RF0,4,2,3,3,2,3,3,2,4,3,0,6,0,0,53,0
did_not_back_down,5,2,4,3.75,A20MO1430Z8C18,3,5,3,4,6,3,4,4,3,3,0,6,0,1,34,0
